"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ae_layer","batch_size","branch1_layer","branch_layer","branch_weight","kl_weight","latent_dim","latent_space","learning_rate","loss_scalar","optimizer","var1","var2","var3","ae_loss","branch1_loss","branch_loss","epoch","kl","loss","recon_loss","v_ae_loss","v_branch1_loss","v_loss","vars"
"eager-sweep-93","finished","-","sophied","","2022-03-19T17:37:41.000Z","79","3pwcrso7","20","153","8","","","","3","","0.003178879406365018","2.2267517175590585","","","","","0.0000724944329704158","0.0006851862417533994","","24","","0.0007576806819997728","","0.00022472885029856116","0.0007287405314855278","0.0009534693672321736",""
"dazzling-sweep-92","finished","-","sophied","","2022-03-19T17:36:08.000Z","87","3pwcrso7","15","170","7","","","","8","","0.001968304664512207","1.3454728689890116","","","","","0.0001828145468607545","0.0007660489645786583","","24","","0.0009488635114394128","","0.00043125369120389223","0.0008079548715613782","0.0012392085045576096",""
"faithful-sweep-91","finished","-","sophied","","2022-03-19T17:32:52.000Z","193","3pwcrso7","20","59","6","","","","5","","0.0032822833888723215","2.29427984090904","","","","","0.00005997193511575461","0.00028506407397799194","","24","","0.00034503600909374654","","0.0001935532636707649","0.00020258979930076748","0.00039614306297153234",""
"sage-sweep-90","finished","-","sophied","","2022-03-19T17:31:45.000Z","64","3pwcrso7","14","228","9","","","","7","","0.0034346265016702475","2.6925802281264017","","","","","0.00009081256575882436","0.001993059879168868","","24","","0.0020838724449276924","","0.00019697751849889755","0.000924830324947834","0.0011218078434467316",""
"royal-sweep-89","finished","-","sophied","","2022-03-19T17:31:03.000Z","39","3pwcrso7","18","402","4","","","","1","","0.003196271730536537","1.7595286621427924","","","","","0.029084181413054463","0.08202429860830307","","24","","0.11110848188400269","","0.054348889738321304","0.08540834486484528","0.13975723087787628",""
"laced-sweep-88","finished","-","sophied","","2022-03-19T17:29:14.000Z","103","3pwcrso7","13","112","8","","","","4","","0.00038121276818626663","1.05092035185113","","","","","0.001779804239049554","0.0008530651684850454","","24","","0.0026328694075345993","","0.003918936476111412","0.000909236492589116","0.0048281727358698845",""
"prime-sweep-87","finished","-","sophied","","2022-03-19T17:28:27.000Z","42","3pwcrso7","16","493","10","","","","8","","0.004338858191554296","2.902793411067485","","","","","0.0005296992021612823","0.0031707105226814747","","24","","0.003700409783050418","","0.0010557553032413125","0.002448395360261202","0.0035041505470871925",""
"glowing-sweep-86","finished","-","sophied","","2022-03-19T17:26:03.000Z","142","3pwcrso7","16","83","6","","","","6","","0.004867333023228711","1.6590483310400226","","","","","0.00007448607357218862","0.00017690948152448982","","24","","0.00025139556964859366","","0.0002045494911726564","0.00017796426254790276","0.0003825137391686439",""
"soft-sweep-85","finished","-","sophied","","2022-03-19T17:24:50.000Z","68","3pwcrso7","8","261","6","","","","10","","0.002729993812394814","2.2428328242118796","","","","","0.003058126661926508","0.000853002246003598","","24","","0.003911128733307123","","0.006129761692136526","0.0007609021849930286","0.006890663877129555",""
"neat-sweep-84","finished","-","sophied","","2022-03-19T17:23:52.000Z","54","3pwcrso7","10","308","5","","","","8","","0.0017884237493643906","2.395358594171345","","","","","0.0003589825937524438","0.0014369284035637977","","24","","0.0017959109973162413","","0.0006258817156776786","0.001467421418055892","0.0020933030173182487",""
"feasible-sweep-83","finished","-","sophied","","2022-03-19T17:23:06.000Z","42","3pwcrso7","8","478","5","","","","9","","0.0006209222368980283","1.0985750134729262","","","","","0.007821253500878811","0.015434982255101204","","24","","0.02325623482465744","","0.01574910245835781","0.015052479691803455","0.03080158308148384",""
"genial-sweep-82","finished","-","sophied","","2022-03-19T17:21:17.000Z","104","3pwcrso7","20","120","9","","","","5","","0.003625163647879189","2.9896512007143388","","","","","0.0001103511531255208","0.0002346653345739469","","24","","0.0003450164804235101","","0.00026657775742933154","0.00023919553495943544","0.000505773292388767",""
"dainty-sweep-81","finished","-","sophied","","2022-03-19T17:19:39.000Z","95","3pwcrso7","17","163","10","","","","9","","0.001144030057902222","2.1073069208792448","","","","","0.0002468803431838751","0.00010538300557527692","","24","","0.00035226333420723677","","0.0004397162119857967","0.00010987420682795346","0.0005495904479175806",""
"atomic-sweep-80","finished","-","sophied","","2022-03-19T17:18:31.000Z","64","3pwcrso7","11","267","10","","","","9","","0.0037471046482610818","1.7862186817055186","","","","","0.0004219093534629792","0.0003997996682301164","","24","","0.000821709050796926","","0.0007674984517507255","0.00035672858939506114","0.001124227070249617",""
"youthful-sweep-79","finished","-","sophied","","2022-03-19T17:17:14.000Z","71","3pwcrso7","20","210","7","","","","7","","0.0026351029967580323","1.9437369234741435","","","","","0.0000240481058426667","0.00035504449624568224","","24","","0.00037909261300228536","","0.00009813304495764896","0.0003771421907003969","0.0004752752429340034",""
"effortless-sweep-78","finished","-","sophied","","2022-03-19T17:16:01.000Z","70","3pwcrso7","9","205","10","","","","5","","0.004248628074906538","1.1755815870649622","","","","","0.000560346816200763","0.0006024986505508423","","24","","0.0011628454085439444","","0.0011445684358477592","0.0004754968103952706","0.001620065188035369",""
"dutiful-sweep-77","finished","-","sophied","","2022-03-19T17:12:45.000Z","189","3pwcrso7","9","54","10","","","","4","","0.0038312224369132066","2.6244268666194865","","","","","0.00007968987483764067","0.00007430090772686526","","24","","0.0001539907825645059","","0.0002255453146062791","0.0000630198628641665","0.00028856517747044563",""
"confused-sweep-76","finished","-","sophied","","2022-03-19T17:11:53.000Z","49","3pwcrso7","12","246","5","","","","1","","0.0010088677790792565","2.9212749068346744","","","","","0.02908637188374996","0.08202429860830307","","24","","0.11111067235469818","","0.054354771971702576","0.08540834486484528","0.13976311683654785",""
"sandy-sweep-75","finished","-","sophied","","2022-03-19T17:11:11.000Z","38","3pwcrso7","9","485","6","","","","5","","0.0024925342007890293","1.9859210471902635","","","","","0.0007024551159702241","0.026027871295809742","","24","","0.02673032693564892","","0.0011877394281327724","0.026643309742212296","0.027831049636006355",""
"colorful-sweep-74","finished","-","sophied","","2022-03-19T17:08:36.000Z","151","3pwcrso7","14","100","9","","","","9","","0.0013488247689806836","2.325317007284446","","","","","0.00001964174043678213","0.00014221477613318712","","24","","0.00016185651475097984","","0.00006991398549871519","0.0001409450633218512","0.000210859056096524",""
"genial-sweep-73","finished","-","sophied","","2022-03-19T17:07:23.000Z","66","3pwcrso7","10","240","4","","","","8","","0.002538001280643831","2.4058558672738464","","","","","0.0004126644635107368","0.0006278990185819566","","24","","0.001040563452988863","","0.0007516788318753242","0.0006745955906808376","0.001426274422556162",""
"clear-sweep-72","finished","-","sophied","","2022-03-19T17:05:14.000Z","125","3pwcrso7","10","120","8","","","","10","","0.004300175786340603","2.8160083947771293","","","","","0.0000836896724649705","0.004578559659421444","","24","","0.0046622492372989655","","0.0001927436824189499","0.004726930987089872","0.004919674713164568",""
"cool-sweep-71","finished","-","sophied","","2022-03-19T17:03:04.000Z","127","3pwcrso7","12","113","10","","","","9","","0.0028599039371643743","2.707533383768008","","","","","0.00026350223924964666","0.00031643646070733666","","24","","0.0005799386999569833","","0.0004606423026416451","0.000320273800753057","0.0007809160742908716",""
"drawn-sweep-70","finished","-","sophied","","2022-03-19T17:02:23.000Z","38","3pwcrso7","13","487","7","","","","5","","0.0002509819217892076","2.624740901996593","","","","","0.01455987337976694","0.0444137267768383","","24","","0.05897359922528267","","0.029178420081734657","0.04578378424048424","0.07496220618486404",""
"scarlet-sweep-69","finished","-","sophied","","2022-03-19T16:57:34.000Z","283","3pwcrso7","17","51","7","","","","10","","0.004310186887616036","1.0184591546037405","","","","","0.00000902314695849782","0.00029515568166971207","","24","","0.0003041788295377046","","0.00004123877806705423","0.00030904350569471717","0.0003502822946757078",""
"frosty-sweep-68","finished","-","sophied","","2022-03-19T16:56:47.000Z","40","3pwcrso7","12","497","9","","","","8","","0.0013968997150838136","2.709224973036773","","","","","0.00025246525183320045","0.0021490876097232103","","24","","0.002401552861556411","","0.0004498030466493219","0.0021897354163229465","0.002639538375660777",""
"visionary-sweep-67","finished","-","sophied","","2022-03-19T16:55:09.000Z","95","3pwcrso7","8","135","10","","","","7","","0.0018842702566104332","1.2175363203447855","","","","","0.0004094025061931461","0.0003120379988104105","","24","","0.0007214405341073871","","0.0007242031861096621","0.0002529266639612615","0.0009771299082785845",""
"chocolate-sweep-66","finished","-","sophied","","2022-03-19T16:54:12.000Z","54","3pwcrso7","16","290","10","","","","6","","0.00040937320014321633","1.206718162577627","","","","","0.005316320341080427","0.02829875983297825","","24","","0.033615078777074814","","0.010970438830554484","0.02836799807846546","0.03933843597769737",""
"pretty-sweep-65","finished","-","sophied","","2022-03-19T16:53:21.000Z","49","3pwcrso7","12","471","9","","","","10","","0.001059560023234699","1.8211363240707457","","","","","0.00436146417632699","0.0021735429763793945","","24","","0.006535007152706385","","0.008835975080728531","0.002176048466935754","0.01101202331483364",""
"astral-sweep-64","finished","-","sophied","","2022-03-19T16:52:18.000Z","56","3pwcrso7","9","276","7","","","","7","","0.0007599052247510687","2.0363293419336266","","","","","0.0016623723786324265","0.0006936702993698418","","24","","0.002356042619794607","","0.003057103371247649","0.0006911521195434034","0.0037482555489987135",""
"different-sweep-63","finished","-","sophied","","2022-03-19T16:50:14.000Z","122","3pwcrso7","17","100","7","","","","6","","0.0005760113531048804","1.8897767369492164","","","","","0.0003393196384422481","0.00012648437405005095","","24","","0.0004658040124922991","","0.0005572446971200407","0.00012401676212903112","0.000681261473800987",""
"breezy-sweep-62","finished","-","sophied","","2022-03-19T16:49:02.000Z","67","3pwcrso7","19","185","5","","","","3","","0.0016146470236765263","2.2619072457258413","","","","","0.0012697812635451555","0.00230711349286139","","24","","0.0035768947564065456","","0.0029502662364393473","0.0022799440193921328","0.00523021025583148",""
"leafy-sweep-61","finished","-","sophied","","2022-03-19T16:48:10.000Z","46","3pwcrso7","11","296","6","","","","3","","0.0018457379927586427","2.853213064358626","","","","","0.003256461350247264","0.039328962564468384","","24","","0.042585425078868866","","0.006829326041042805","0.04032270237803459","0.04715202748775482",""
"eternal-sweep-60","finished","-","sophied","","2022-03-19T16:47:07.000Z","59","3pwcrso7","15","199","10","","","","1","","0.004742183103590463","1.247786513893829","","","","","0.029084181413054463","0.08202429860830307","","24","","0.11110848188400269","","0.054348889738321304","0.08540834486484528","0.13975723087787628",""
"radiant-sweep-59","finished","-","sophied","","2022-03-19T16:46:16.000Z","48","3pwcrso7","11","344","5","","","","6","","0.004851096933216924","1.1435049512780249","","","","","0.00004063937012688257","0.0002370282163610682","","24","","0.0002776675974018872","","0.00014185960753820837","0.00023911939933896065","0.000380979006877169",""
"warm-sweep-58","finished","-","sophied","","2022-03-19T16:45:29.000Z","42","3pwcrso7","10","368","9","","","","4","","0.0011757986978909178","2.2096914487528805","","","","","0.029146097600460052","0.08202436566352844","","24","","0.1111704632639885","","0.054468587040901184","0.08540519326925278","0.13987377285957336",""
"youthful-sweep-57","finished","-","sophied","","2022-03-19T16:43:03.000Z","143","3pwcrso7","19","105","8","","","","10","","0.004286247825955216","2.9480143233196694","","","","","0.00005049864194006659","0.0008292007842101157","","24","","0.0008796994225122035","","0.00014280647155828774","0.0008579166023992002","0.0010007231030613184",""
"misunderstood-sweep-56","finished","-","sophied","","2022-03-19T16:41:56.000Z","61","3pwcrso7","18","288","4","","","","9","","0.004728168456908455","2.4403075709439075","","","","","0.00004572578836814501","0.001364761497825384","","24","","0.0014104873407632113","","0.00013192032929509878","0.0017094885697588325","0.0018414088990539312",""
